"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "JSON", "CSS", "Groovy", "Batch", "Java Properties", "XML", "Properties", "comment", "blank", "total"
"c:\Users\17162\source\repos\Freelance\Layover\src\data.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\auth.ts", "TypeScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 161
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useAirports.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 148
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useChats.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 161
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useEvents.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 117
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useNearestAirport.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 119
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useSportEvents.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 114
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useSupabase.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 84
"c:\Users\17162\source\repos\Freelance\Layover\src\hooks\useUsers.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 92
"c:\Users\17162\source\repos\Freelance\Layover\src\types\index.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\17162\source\repos\Freelance\Layover\supabaseClient.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\17162\source\repos\Freelance\Layover\tailwind.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\17162\source\repos\Freelance\Layover\tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 7, 106, 870, 6420, 21534, 3, 153, 41, 18, 97, 4, 436, 581, 30270
